date,cash,market_value,equity,positions
2019-05-06,70084.66718555032,185871.0,255955.66718555032,4
2019-05-07,70084.66718555032,188497.0,258581.66718555032,4
2019-05-08,70084.66718555032,187078.0,257162.66718555032,4
2019-05-09,67627.06591495029,181291.394,248918.4599149503,4
2019-05-10,67627.06591495029,192210.0,259837.06591495028,4
2019-05-13,67627.06591495029,183709.0,251336.06591495028,4
2019-05-14,67627.06591495029,182708.0,250335.06591495028,4
2019-05-15,67627.06591495029,189038.0,256665.06591495028,4
2019-05-16,256596.16210095029,0.0,256596.16210095029,0
2019-05-17,256596.16210095029,0.0,256596.16210095029,0
2019-05-20,256596.16210095029,0.0,256596.16210095029,0
2019-05-21,256596.16210095029,0.0,256596.16210095029,0
2019-05-22,256596.16210095029,0.0,256596.16210095029,0
2019-05-23,64380.4836916503,192158.031,256538.51469165029,4
2019-05-24,64380.4836916503,193398.0,257778.4836916503,4
2019-05-27,64380.4836916503,195230.0,259610.4836916503,4
2019-05-28,64380.4836916503,199277.0,263657.4836916503,4
2019-05-29,64380.4836916503,197828.0,262208.4836916503,4
2019-05-30,261681.7373148503,0.0,261681.7373148503,0
2019-05-31,261681.7373148503,0.0,261681.7373148503,0
2019-06-03,261681.7373148503,0.0,261681.7373148503,0
2019-06-04,261681.7373148503,0.0,261681.7373148503,0
2019-06-05,261681.7373148503,0.0,261681.7373148503,0
2019-06-06,204293.8551135503,57370.671,261664.5261135503,1
2019-06-10,204293.8551135503,59907.0,264200.8551135503,1
2019-06-11,204293.8551135503,61332.0,265625.8551135503,1
2019-06-12,204293.8551135503,59108.99999999999,263402.85511355026,1
2019-06-13,204293.8551135503,59508.0,263801.8551135503,1
2019-06-14,262927.5555975503,0.0,262927.5555975503,0
2019-06-17,262927.5555975503,0.0,262927.5555975503,0
2019-06-18,262927.5555975503,0.0,262927.5555975503,0
2019-06-19,262927.5555975503,0.0,262927.5555975503,0
2019-06-20,262927.5555975503,0.0,262927.5555975503,0
2019-06-21,15569.790523550291,247283.58000000002,262853.3705235503,5
2019-06-24,15569.790523550291,251862.0,267431.7905235503,5
2019-06-25,15569.790523550291,250367.0,265936.7905235503,5
2019-06-26,15569.790523550291,244307.0,259876.7905235503,5
2019-06-27,15569.790523550291,249321.0,264890.7905235503,5
2019-06-28,23259.257435400294,241969.9245,265229.1819354003,5
2019-07-01,23259.257435400294,250297.0,273556.2574354003,5
2019-07-02,23259.257435400294,249486.0,272745.2574354003,5
2019-07-03,23259.257435400294,244380.0,267639.2574354003,5
2019-07-04,23259.257435400294,242537.0,265796.2574354003,5
2019-07-05,16244.90041555032,252537.00749999998,268781.9079155503,5
2019-07-08,16244.90041555032,241604.0,257848.90041555034,5
2019-07-09,60958.71472435032,194904.0,255862.7147243503,4
2019-07-10,60958.71472435032,193475.0,254433.7147243503,4
2019-07-11,60958.71472435032,195582.0,256540.7147243503,4
2019-07-12,20062.249486450324,235779.653,255841.90248645033,5
2019-07-15,20062.249486450324,235387.0,255449.24948645034,5
2019-07-16,20062.249486450324,234543.0,254605.24948645034,5
2019-07-17,20062.249486450324,234270.0,254332.24948645034,5
2019-07-18,20062.249486450324,230120.0,250182.24948645034,5
2019-07-19,18556.601312850347,234366.824,252923.42531285033,5
2019-07-22,18556.601312850347,235114.0,253670.60131285034,5
2019-07-23,18556.601312850347,241582.0,260138.60131285034,5
2019-07-24,18556.601312850347,244958.0,263514.60131285037,5
2019-07-25,18556.601312850347,245920.0,264476.60131285037,5
2019-07-26,22159.521065850357,245010.444,267169.96506585035,5
2019-07-29,22159.521065850357,242620.0,264779.52106585033,5
2019-07-30,22159.521065850357,247547.0,269706.52106585033,5
2019-07-31,22159.521065850357,246062.0,268221.52106585033,5
2019-08-01,22159.521065850357,241547.0,263706.52106585033,5
2019-08-02,17894.53603145037,238217.049,256111.58503145038,5
2019-08-05,17894.53603145037,227799.0,245693.53603145038,5
2019-08-06,17894.53603145037,226071.0,243965.53603145038,5
2019-08-07,17894.53603145037,225468.0,243362.53603145038,5
2019-08-08,17894.53603145037,229696.0,247590.53603145038,5
2019-08-09,17204.950985450378,226690.42799999999,243895.37898545037,5
2019-08-12,17204.950985450378,230358.0,247562.95098545038,5
2019-08-13,17204.950985450378,226833.0,244037.95098545038,5
2019-08-14,17204.950985450378,228862.0,246066.95098545038,5
2019-08-15,17204.950985450378,229624.0,246828.95098545038,5
2019-08-16,13364.88685450038,233983.08599999998,247347.97285450037,5
2019-08-19,13364.88685450038,243638.0,257002.8868545004,5
2019-08-20,13364.88685450038,241556.0,254920.8868545004,5
2019-08-21,13364.88685450038,246701.0,260065.8868545004,5
2019-08-22,13364.88685450038,244653.0,258017.8868545004,5
2019-08-23,62910.55202580042,197948.86299999998,260859.4150258004,4
2019-08-26,62910.55202580042,194748.0,257658.55202580043,4
2019-08-27,62910.55202580042,196432.0,259342.55202580043,4
2019-08-28,62910.55202580042,195762.0,258672.55202580043,4
2019-08-29,62910.55202580042,193056.0,255966.55202580043,4
2019-08-30,62340.77127115044,196809.099,259149.87027115043,4
2019-09-02,62340.77127115044,200716.0,263056.77127115044,4
2019-09-03,62340.77127115044,202194.0,264534.77127115044,4
2019-09-04,62340.77127115044,200964.0,263304.77127115044,4
2019-09-05,62340.77127115044,201648.0,263988.77127115044,4
2019-09-06,15641.65812250047,248148.2675,263789.9256225005,5
2019-09-09,15641.65812250047,247896.0,263537.65812250046,5
2019-09-10,15641.65812250047,247387.0,263028.65812250046,5
2019-09-11,15641.65812250047,241776.0,257417.65812250046,5
2019-09-12,15641.65812250047,244020.0,259661.65812250046,5
2019-09-16,66030.63737290048,195511.783,261542.4203729005,5
2019-09-17,66030.63737290048,191158.0,257188.6373729005,5
2019-09-18,66030.63737290048,190559.0,256589.6373729005,5
2019-09-19,66030.63737290048,190522.0,256552.6373729005,5
2019-09-20,66030.63737290048,189043.0,255073.6373729005,5
2019-09-23,20113.564461100483,232489.7965,252603.3609611005,5
2019-09-24,20113.564461100483,233916.0,254029.5644611005,5
2019-09-25,20113.564461100483,230458.0,250571.5644611005,5
2019-09-26,20113.564461100483,227336.0,247449.5644611005,5
2019-09-27,20113.564461100483,228064.0,248177.5644611005,5
2019-09-30,71550.94511530054,173947.08599999998,245498.03111530052,4
2019-10-08,71550.94511530054,177318.0,248868.94511530054,4
2019-10-09,71550.94511530054,175946.0,247496.94511530054,4
2019-10-10,71550.94511530054,177818.0,249368.94511530054,4
2019-10-11,71550.94511530054,179866.0,251416.94511530054,4
2019-10-14,37267.61407165057,214848.3705,252115.98457165057,4
2019-10-15,37267.61407165057,210317.0,247584.61407165058,4
2019-10-16,37267.61407165057,209774.0,247041.61407165058,4
2019-10-17,37267.61407165057,206339.0,243606.61407165058,4
2019-10-18,84665.93505565057,154220.0,238885.93505565057,3
2019-10-21,14514.848791850578,223458.13700000002,237972.9857918506,5
2019-10-22,14514.848791850578,223152.0,237666.84879185059,5
2019-10-23,14514.848791850578,220483.0,234997.84879185059,5
2019-10-24,14514.848791850578,224116.0,238630.84879185059,5
2019-10-25,14514.848791850578,224898.0,239412.84879185059,5
2019-10-28,191145.1639046506,52141.057499999995,243286.2214046506,1
2019-10-29,191145.1639046506,51807.0,242952.1639046506,1
2019-10-30,191145.1639046506,51632.0,242777.1639046506,1
2019-10-31,191145.1639046506,51751.00000000001,242896.1639046506,1
2019-11-01,191145.1639046506,53094.99999999999,244240.1639046506,1
2019-11-04,88997.73172905062,155301.612,244299.3437290506,3
2019-11-05,88997.73172905062,158306.0,247303.73172905063,3
2019-11-06,88997.73172905062,157348.0,246345.73172905063,3
2019-11-07,88997.73172905062,156890.0,245887.73172905063,3
2019-11-08,88997.73172905062,157436.0,246433.73172905063,3
2019-11-11,16199.57521800066,227416.39149999997,243615.96671800062,5
2019-11-12,16199.57521800066,225108.0,241307.57521800065,5
2019-11-13,16199.57521800066,227188.0,243387.57521800065,5
2019-11-14,16199.57521800066,227296.0,243495.57521800065,5
2019-11-15,16199.57521800066,226427.0,242626.57521800065,5
2019-11-18,79855.35724880068,164399.927,244255.28424880066,4
2019-11-19,79855.35724880068,172384.0,252239.3572488007,4
2019-11-20,79855.35724880068,168288.0,248143.3572488007,4
2019-11-21,79855.35724880068,169098.0,248953.3572488007,4
2019-11-22,79855.35724880068,170992.0,250847.3572488007,4
2019-11-25,60606.036430500666,194617.072,255223.10843050067,4
2019-11-26,60606.036430500666,195697.0,256303.03643050068,4
2019-11-27,60606.036430500666,198899.0,259505.03643050068,4
2019-11-28,60606.036430500666,199198.0,259804.03643050068,4
2019-11-29,60606.036430500666,194291.0,254897.03643050068,4
2019-12-02,21201.70757745068,233060.8235,254262.53107745067,5
2019-12-03,21201.70757745068,232842.0,254043.70757745067,5
2019-12-04,21201.70757745068,235228.0,256429.70757745067,5
2019-12-05,21201.70757745068,240365.0,261566.70757745067,5
2019-12-06,21201.70757745068,242682.0,263883.70757745067,5
2019-12-09,21621.6407543007,244943.3705,266565.0112543007,5
2019-12-10,21621.6407543007,244620.0,266241.6407543007,5
2019-12-11,21621.6407543007,242375.0,263996.6407543007,5
2019-12-12,21621.6407543007,241268.0,262889.6407543007,5
2019-12-13,21621.6407543007,248247.0,269868.6407543007,5
2019-12-16,18226.071192700714,250251.0175,268477.0886927007,5
2019-12-17,18226.071192700714,255423.0,273649.0711927007,5
2019-12-18,18226.071192700714,251190.0,269416.0711927007,5
2019-12-19,18226.071192700714,248218.0,266444.0711927007,5
2019-12-20,18226.071192700714,247835.0,266061.0711927007,5
2019-12-23,17875.549382700723,245841.51799999998,263717.0673827007,5
2019-12-24,17875.549382700723,251254.0,269129.5493827007,5
2019-12-25,17875.549382700723,253401.0,271276.5493827007,5
2019-12-26,17875.549382700723,252638.0,270513.5493827007,5
2019-12-27,17875.549382700723,258727.0,276602.5493827007,5
2019-12-30,19651.295741700724,268124.091,287775.38674170076,5
2019-12-31,19651.295741700724,268891.0,288542.29574170074,5
2020-01-02,19651.295741700724,276595.0,296246.29574170074,5
2020-01-03,19651.295741700724,279294.0,298945.29574170074,5
2020-01-06,81269.11302090072,218398.0,299667.11302090075,4
2020-01-07,21562.789858900716,278085.518,299648.3078589007,5
